decall;dxcall;freq;band;S/N;datetime;country;continent;mode;decontinent;dxcontinent;de_country;skimmode
KM3T;ON3DWG;14098.34;20M;12;2016-02-14 13:32;Belgium;  EU;RTTY;NA;EU;United States;  NA;CQ
KM3T;KW7D;14017.0;20M;19;2016-02-14 13:32;United States;  NA;CW;NA;NA;United States;  NA;CQ
KM3T;GM5M;21104.2;15M;9;2016-02-14 13:32;England;  EU;RTTY;NA;EU;United States;  NA;CQ
KM3T;M9K;14103.98;20M;25;2016-02-14 13:32;England;  EU;RTTY;NA;EU;United States;  NA;CQ
KM3T;IT9SSI;21040.0;15M;9;2016-02-14 13:32;Italy;  EU;CW;NA;EU;United States;  NA;CQ
KM3T;IK5FKF;14082.09;20M;7;2016-02-14 13:32;Italy;  EU;RTTY;NA;EU;United States;  NA;CQ
KM3T;IZ8EPX;21107.71;15M;34;2016-02-14 13:32;Italy;  EU;RTTY;NA;EU;United States;  NA;CQ
N0TA;WA8YWG;7027.9;40M;18;2016-02-14 13:32;United States;  NA;CW;NA;NA;United States;  NA;CQ
F6IIT;F5NJF;7004.1;40M;18;2016-02-14 13:32;France;  EU;CW;EU;EU;France;  EU;CQ
F6IIT;LZ5R;7005.8;40M;23;2016-02-14 13:32;Bulgaria;  EU;CW;EU;EU;France;  EU;CQ
F6IIT;TF3JB;28003.2;10M;21;2016-02-14 13:32;Iceland;  EU;CW;EU;EU;France;  EU;CQ
PA1T;VE2GDI;21016.6;15M;14;2016-02-14 13:32;Canada;  NA;CW;EU;NA;Netherlands;  EU;CQ
PA1T;FG/F5HRY;21016.2;15M;9;2016-02-14 13:32;France;  EU;CW;EU;EU;Netherlands;  EU;CQ
DK3UA;LZ5R;7005.7;40M;13;2016-02-14 13:32;Bulgaria;  EU;CW;EU;EU;Fed. Rep. of Germany;  EU;CQ
WA7LNW;KM6Z;7048.53;40M;6;2016-02-14 13:32;United States;  NA;RTTY;NA;NA;United States;  NA;CQ
WA7LNW;NA6MG;7041.43;40M;15;2016-02-14 13:32;United States;  NA;RTTY;NA;NA;United States;  NA;CQ
WA7LNW;AC0C;7055.66;40M;44;2016-02-14 13:32;United States;  NA;RTTY;NA;NA;United States;  NA;CQ
WA7LNW;VA7KO;7040.38;40M;37;2016-02-14 13:32;Canada;  NA;RTTY;NA;NA;United States;  NA;CQ
UD4FD;F5BCZ;28027.7;10M;13;2016-02-14 13:32;France;  EU;CW;EU;EU;European Russia;  EU;CQ
UD4FD;LZ5R;7005.7;40M;23;2016-02-14 13:32;Bulgaria;  EU;CW;EU;EU;European Russia;  EU;CQ
UD4FD;YO3AAJ;7015.9;40M;24;2016-02-14 13:32;Romania;  EU;CW;EU;EU;European Russia;  EU;CQ
UD4FD;EG3TOR;28031.7;10M;24;2016-02-14 13:32;Spain;  EU;CW;EU;EU;European Russia;  EU;CQ
W4KKN;KW7D;14017.0;20M;29;2016-02-14 13:32;United States;  NA;CW;NA;NA;United States;  NA;CQ
DO4DXA;SP5TAZ;14095.9;20M;25;2016-02-14 13:32;Poland;  EU;RTTY;EU;EU;Fed. Rep. of Germany;  EU;CQ
OH8WW;9A1ZZ;18074.1;17M;12;2016-02-14 13:32;Croatia;  EU;CW;EU;EU;Finland;  EU;CQ
OH8WW;F5BCZ;28028.2;10M;18;2016-02-14 13:32;France;  EU;CW;EU;EU;Finland;  EU;CQ
OH8WW;G0OOD;18075.1;17M;7;2016-02-14 13:32;England;  EU;CW;EU;EU;Finland;  EU;CQ
K8ND;KW7D;14017.0;20M;11;2016-02-14 13:32;United States;  NA;CW;NA;NA;United States;  NA;CQ
IK3STG;LZ5R;7005.8;40M;31;2016-02-14 13:32;Bulgaria;  EU;CW;EU;EU;Italy;  EU;CQ
